Jrk nr;Kvoot;Võrdlusarv;Ringkond;Nimekiri;Hääli kokku;Reg nr;Kandidaadi nimi;Mandaatide omandamise viis
1;2,5356;;2;KESK;14 592;921;MIHHAIL KÕLVART;Ringkondades lihtkvoodi alusel jaotatud isikumandaadid
2;1,1626;;4;KESK;7 672;946;JÜRI RATAS;Ringkondades lihtkvoodi alusel jaotatud isikumandaadid
3;4,8212;;4;REF;31 816;821;KAJA KALLAS;Ringkondades lihtkvoodi alusel jaotatud isikumandaadid
4;1,4955;;1;REF;9 214;784;KRISTEN MICHAL;Ringkondades lihtkvoodi alusel jaotatud isikumandaadid
5;1,4336;;3;REF;9 154;811;URMAS PAET;Ringkondades lihtkvoodi alusel jaotatud isikumandaadid
6;1,3149;;10;REF;8 065;880;URMAS KLAAS;Ringkondades lihtkvoodi alusel jaotatud isikumandaadid
7;1,2847;;2;REF;7 393;796;SIIM KALLAS;Ringkondades lihtkvoodi alusel jaotatud isikumandaadid
8;1,1612;;6;REF;6 567;847;HANNO PEVKUR;Ringkondades lihtkvoodi alusel jaotatud isikumandaadid
9;1,0326;;8;REF;5 797;862;JÜRGEN LIGI;Ringkondades lihtkvoodi alusel jaotatud isikumandaadid
10;0,8523;;1;EE200;5 251;659;JOHANNA-MARIA LEHTME;Ringkondades lihtkvoodi alusel jaotatud ringkonnamandaadid
11;0,3632;;2;EE200;2 090;671;MAREK REINAAS;Ringkondades lihtkvoodi alusel jaotatud ringkonnamandaadid
12;0,4576;;3;EE200;2 922;686;MARGUS TSAHKNA;Ringkondades lihtkvoodi alusel jaotatud ringkonnamandaadid
13;0,5066;;4;EE200;3 343;696;LAURI HUSSAR;Ringkondades lihtkvoodi alusel jaotatud ringkonnamandaadid
14;0,3667;;4;EE200;2 420;697;TOOMAS UIBO;Ringkondades lihtkvoodi alusel jaotatud ringkonnamandaadid
15;0,6131;;5;EE200;3 664;714;GRIGORE-KALEV STOICESCU;Ringkondades lihtkvoodi alusel jaotatud ringkonnamandaadid
16;0,5259;;9;EE200;3 523;746;IRJA LUTSAR;Ringkondades lihtkvoodi alusel jaotatud ringkonnamandaadid
17;0,6991;;10;EE200;4 288;755;KRISTINA KALLAS;Ringkondades lihtkvoodi alusel jaotatud ringkonnamandaadid
18;0,5901;;11;EE200;3 275;765;IGOR TARO;Ringkondades lihtkvoodi alusel jaotatud ringkonnamandaadid
19;0,3338;;12;EE200;2 092;775;KADRI TALI;Ringkondades lihtkvoodi alusel jaotatud ringkonnamandaadid
20;0,4072;;1;EKRE;2 509;535;VARRO VOOGLAID;Ringkondades lihtkvoodi alusel jaotatud ringkonnamandaadid
21;0,5891;;2;EKRE;3 390;546;LEO KUNNAS;Ringkondades lihtkvoodi alusel jaotatud ringkonnamandaadid
22;0,7213;;3;EKRE;4 606;561;MARTIN HELME;Ringkondades lihtkvoodi alusel jaotatud ringkonnamandaadid
23;0,8760;;4;EKRE;5 781;571;HENN PÕLLUAAS;Ringkondades lihtkvoodi alusel jaotatud ringkonnamandaadid
24;0,6399;;4;EKRE;4 223;572;SIIM POHLAK;Ringkondades lihtkvoodi alusel jaotatud ringkonnamandaadid
25;0,5905;;5;EKRE;3 529;589;HELLE-MOONIKA HELME;Ringkondades lihtkvoodi alusel jaotatud ringkonnamandaadid
26;0,5006;;6;EKRE;2 831;597;ANTI POOLAMETS;Ringkondades lihtkvoodi alusel jaotatud ringkonnamandaadid
27;0,9302;;8;EKRE;5 222;612;JAAK MADISON;Ringkondades lihtkvoodi alusel jaotatud ringkonnamandaadid
28;0,4620;;9;EKRE;3 095;621;KERT KINGO;Ringkondades lihtkvoodi alusel jaotatud ringkonnamandaadid
29;0,3815;;10;EKRE;2 340;630;JAAK VALGE;Ringkondades lihtkvoodi alusel jaotatud ringkonnamandaadid
30;0,6064;;11;EKRE;3 366;640;RAIN EPLER;Ringkondades lihtkvoodi alusel jaotatud ringkonnamandaadid
31;0,4719;;11;EKRE;2 619;641;ANTS FROSCH;Ringkondades lihtkvoodi alusel jaotatud ringkonnamandaadid
32;0,9781;;12;EKRE;6 130;650;MART HELME;Ringkondades lihtkvoodi alusel jaotatud ringkonnamandaadid
33;0,2875;;12;EKRE;1 802;652;ALAR LANEMAN;Ringkondades lihtkvoodi alusel jaotatud ringkonnamandaadid
34;0,6833;;4;IE;4 509;321;URMAS REINSALU;Ringkondades lihtkvoodi alusel jaotatud ringkonnamandaadid
35;0,4790;;8;IE;2 689;362;HELIR-VALDOR SEEDER;Ringkondades lihtkvoodi alusel jaotatud ringkonnamandaadid
36;0,4681;;9;IE;3 136;371;AIVAR KOKK;Ringkondades lihtkvoodi alusel jaotatud ringkonnamandaadid
37;0,5244;;1;KESK;3 231;910;VADIM BELOBROVTSEV;Ringkondades lihtkvoodi alusel jaotatud ringkonnamandaadid
38;0,4554;;1;KESK;2 806;912;ANASTASSIA KOVALENKO-KÕLVART;Ringkondades lihtkvoodi alusel jaotatud ringkonnamandaadid
39;0,3244;;2;KESK;1 867;923;VLADIMIR SVET;Ringkondades lihtkvoodi alusel jaotatud ringkonnamandaadid
40;0,1428;;2;KESK;822;925;MARIA JUFEREVA-SKURATOVSKI;Ringkondades lihtkvoodi alusel jaotatud ringkonnamandaadid
41;0,3143;;2;KESK;1 809;929;ALEKSANDR TŠAPLÕGIN;Ringkondades lihtkvoodi alusel jaotatud ringkonnamandaadid
42;0,9371;;3;KESK;5 984;936;LAURI LAATS;Ringkondades lihtkvoodi alusel jaotatud ringkonnamandaadid
43;0,7021;;7;KESK;3 457;980;YANA TOOM;Ringkondades lihtkvoodi alusel jaotatud ringkonnamandaadid
44;0,3021;;11;KESK;1 677;1016;ESTER KARUSE;Ringkondades lihtkvoodi alusel jaotatud ringkonnamandaadid
45;0,3148;;12;KESK;1 973;1025;ANDREI KOROBEINIK;Ringkondades lihtkvoodi alusel jaotatud ringkonnamandaadid
46;0,7341;;1;REF;4 523;785;SIGNE RIISALO;Ringkondades lihtkvoodi alusel jaotatud ringkonnamandaadid
47;0,2392;;1;REF;1 474;788;PÄRTEL-PEETER PERE;Ringkondades lihtkvoodi alusel jaotatud ringkonnamandaadid
48;0,7230;;2;REF;4 161;797;HEIDY PURGA;Ringkondades lihtkvoodi alusel jaotatud ringkonnamandaadid
49;0,5760;;2;REF;3 315;798;ANDRES SUTT;Ringkondades lihtkvoodi alusel jaotatud ringkonnamandaadid
50;0,6197;;2;REF;3 566;799;KARMEN JOLLER;Ringkondades lihtkvoodi alusel jaotatud ringkonnamandaadid
51;0,6397;;3;REF;4 085;812;MARIS LAURI;Ringkondades lihtkvoodi alusel jaotatud ringkonnamandaadid
52;0,1887;;3;REF;1 205;814;VILJA TOOMAST;Ringkondades lihtkvoodi alusel jaotatud ringkonnamandaadid
53;0,4001;;4;REF;2 640;822;MARKO MIHKELSON;Ringkondades lihtkvoodi alusel jaotatud ringkonnamandaadid
54;0,1891;;4;REF;1 248;824;AIVAR SÕERD;Ringkondades lihtkvoodi alusel jaotatud ringkonnamandaadid
55;0,1523;;4;REF;1 005;825;KRISTINA ŠMIGUN-VÄHI;Ringkondades lihtkvoodi alusel jaotatud ringkonnamandaadid
56;0,1565;;4;REF;1 033;826;TIMO SUSLOV;Ringkondades lihtkvoodi alusel jaotatud ringkonnamandaadid
57;0,1458;;4;REF;962;827;MARIO KADASTIK;Ringkondades lihtkvoodi alusel jaotatud ringkonnamandaadid
58;0,7274;;5;REF;4 347;839;KALLE LAANET;Ringkondades lihtkvoodi alusel jaotatud ringkonnamandaadid
59;0,2618;;7;REF;1 289;854;MEELIS KIILI;Ringkondades lihtkvoodi alusel jaotatud ringkonnamandaadid
60;0,4450;;8;REF;2 498;863;PIPI-LIIS SIEMANN;Ringkondades lihtkvoodi alusel jaotatud ringkonnamandaadid
61;0,9308;;9;REF;6 235;871;URMAS KRUUSE;Ringkondades lihtkvoodi alusel jaotatud ringkonnamandaadid
62;0,4387;;9;REF;2 939;872;LUISA RÕIVAS;Ringkondades lihtkvoodi alusel jaotatud ringkonnamandaadid
63;0,3344;;10;REF;2 051;881;YOKO ALENDER;Ringkondades lihtkvoodi alusel jaotatud ringkonnamandaadid
64;0,3047;;10;REF;1 869;882;ANTS LAANEOTS;Ringkondades lihtkvoodi alusel jaotatud ringkonnamandaadid
65;0,7338;;11;REF;4 073;890;LIINA KERSNA;Ringkondades lihtkvoodi alusel jaotatud ringkonnamandaadid
66;0,2703;;11;REF;1 500;892;MAIDO RUUSMANN;Ringkondades lihtkvoodi alusel jaotatud ringkonnamandaadid
67;0,6540;;12;REF;4 099;900;TOOMAS KIVIMÄGI;Ringkondades lihtkvoodi alusel jaotatud ringkonnamandaadid
68;0,6990;;12;REF;4 381;901;ANNELY AKKERMANN;Ringkondades lihtkvoodi alusel jaotatud ringkonnamandaadid
69;0,2952;;1;SDE;1 819;409;RAIMOND KALJULAID;Ringkondades lihtkvoodi alusel jaotatud ringkonnamandaadid
70;0,4235;;2;SDE;2 437;421;JEVGENI OSSINOVSKI;Ringkondades lihtkvoodi alusel jaotatud ringkonnamandaadid
71;0,6281;;4;SDE;4 145;446;MARINA KALJURAND;Ringkondades lihtkvoodi alusel jaotatud ringkonnamandaadid
72;0,3772;;5;SDE;2 254;464;MADIS KALLAS;Ringkondades lihtkvoodi alusel jaotatud ringkonnamandaadid
73;0,3737;;8;SDE;2 098;488;HELMEN KÜTT;Ringkondades lihtkvoodi alusel jaotatud ringkonnamandaadid
74;0,2025;;10;SDE;1 242;506;HELJO PIKHOF;Ringkondades lihtkvoodi alusel jaotatud ringkonnamandaadid
75;0,3549;;11;SDE;1 970;516;ANTI ALLAS;Ringkondades lihtkvoodi alusel jaotatud ringkonnamandaadid
76;0,3584;4133,1936;6;IE;2 027;347;ÜLLAR SAAREMÄE;Kogu riigi peale jaotatud kompensatsioonimandaadid (ALT: Rootsi MSL, listitu)
77;0,2651;4380,3781;3;IE;1 693;311;RAIVO TAMM;Kogu riigi peale jaotatud kompensatsioonimandaadid (ALT: Rootsi MSL, listitu)
78;0,1552;3913,7196;4;IE;1 024;324;HEIKI HEPNER;Kogu riigi peale jaotatud kompensatsioonimandaadid (ALT: Rootsi MSL, listitu)
79;0,1431;6937,0604;5;IE;855;339;MART MAASTIK;Kogu riigi peale jaotatud kompensatsioonimandaadid (ALT: Rootsi MSL, listitu)
80;0,1296;2765,9716;12;IE;812;402;LAURI LUUR;Kogu riigi peale jaotatud kompensatsioonimandaadid (ALT: Rootsi MSL, listitu)
81;0,0887;2869,4827;9;IE;594;372;JUHANI JAEGER;Kogu riigi peale jaotatud kompensatsioonimandaadid (ALT: Rootsi MSL, listitu)
82;0,2647;1877,5272;11;SDE;1 469;515;IVARI PADAR;Kogu riigi peale jaotatud kompensatsioonimandaadid (ALT: Rootsi MSL, listitu)
83;0,2271;4197,0910;1;SDE;1 399;411;NATALIE METS;Kogu riigi peale jaotatud kompensatsioonimandaadid (ALT: Rootsi MSL, listitu)
84;0,2372;3653,3921;2;SDE;1 365;422;MADLE LIPPUS;Kogu riigi peale jaotatud kompensatsioonimandaadid (ALT: Rootsi MSL, listitu)
85;0,4378;5044,8469;9;EKRE;2 933;622;PEETER ERNITS;Kogu riigi peale jaotatud kompensatsioonimandaadid (ALT: Rootsi MSL, listitu)
86;0,2836;7266,5810;2;EKRE;1 632;547;EEVA HELME;Kogu riigi peale jaotatud kompensatsioonimandaadid (ALT: Rootsi MSL, listitu)
87;0,2467;6921,4508;1;EKRE;1 520;534;URMAS REITELMANN;Kogu riigi peale jaotatud kompensatsioonimandaadid (ALT: Rootsi MSL, listitu)
88;0,3032;1953,6148;4;EE200;2 001;713;JOAKIM JOHAN HELENIUS;Kogu riigi peale jaotatud kompensatsioonimandaadid (ALT: Rootsi MSL, listitu)
89;0,3180;6707,1412;8;EE200;1 785;737;ANDO KIVIBERG;Kogu riigi peale jaotatud kompensatsioonimandaadid (ALT: Rootsi MSL, listitu)
90;0,2230;4188,1097;10;EE200;1 368;756;TANEL TEIN;Kogu riigi peale jaotatud kompensatsioonimandaadid (ALT: Rootsi MSL, listitu)
91;0,2006;3927,2381;3;EE200;1 281;688;JUKU-KALLE RAID;Kogu riigi peale jaotatud kompensatsioonimandaadid (ALT: Rootsi MSL, listitu)
92;0,3489;6891,9451;5;REF;2 085;840;URVE TIIDUS;Kogu riigi peale jaotatud kompensatsioonimandaadid (ALT: Rootsi MSL, listitu)
93;0,2520;6198,7560;9;REF;1 688;874;TOOMAS JÄRVEOJA;Kogu riigi peale jaotatud kompensatsioonimandaadid (ALT: Rootsi MSL, listitu)
94;0,2031;6740,4724;2;REF;1 169;800;VALDO RANDPERE;Kogu riigi peale jaotatud kompensatsioonimandaadid (ALT: Rootsi MSL, listitu)
95;0,1766;4060,6593;12;REF;1 107;907;LAURA KIVISELG;Kogu riigi peale jaotatud kompensatsioonimandaadid (ALT: Rootsi MSL, listitu)
96;0,2487;6291,3011;9;KESK;1 666;996;TAAVI AAS;Kogu riigi peale jaotatud kompensatsioonimandaadid (ALT: Rootsi MSL, listitu)
97;0,2733;3902,4419;11;KESK;1 517;1015;ERKI SAVISAAR;Kogu riigi peale jaotatud kompensatsioonimandaadid (ALT: Rootsi MSL, listitu)
98;0,2333;3616,4788;3;KESK;1 490;938;ARKADI POPOV;Kogu riigi peale jaotatud kompensatsioonimandaadid (ALT: Rootsi MSL, listitu)
99;0,2529;4802,1982;6;KESK;1 430;972;SIRET KOTKA;Kogu riigi peale jaotatud kompensatsioonimandaadid (ALT: Rootsi MSL, listitu)
100;0,2854;3449,1281;7;KESK;1 405;982;ALEKSEI JEVGRAFOV;Kogu riigi peale jaotatud kompensatsioonimandaadid (ALT: Rootsi MSL, listitu)
101;0,2267;6588,5406;11;KESK;1 258;1017;TARMO TAMM;Kogu riigi peale jaotatud kompensatsioonimandaadid (ALT: Rootsi MSL, listitu)
